Id,Name,Notes
1,DEMOGRAPHICS,ONLY use as a domain header for organizing demographic information - NOT for coding individual patient demographics or characteristics.
2,AGE RANGE,Age at which specific symptoms or impact occur
3,12 to 17 years of age,"ONLY use when patient age is explicitly stated as 12-17 years: 'patient is 14', 'age 16', 'teenager', 'adolescent age' - NOT for grade level, developmental age, or inferred age without explicit statement."
4,18 to 29 years of age,"ONLY use when patient age is explicitly stated as 18-29 years: 'patient is 22', 'age 25', 'young adult' - NOT for grade level, developmental age, or inferred age without explicit statement."
5,2 to 4 years of age,"ONLY use when patient age is explicitly stated as 2-4 years: 'patient is 3', 'age 2', 'toddler age', 'preschool age' - NOT for grade level, developmental age, or inferred age without explicit statement."
6,30 years and older,"ONLY use when patient age is explicitly stated as 30+ years: 'patient is 35', 'age 45', 'adult patient' - NOT for grade level, developmental age, or inferred age without explicit statement."
7,5 to 11 years of age,"ONLY use when patient age is explicitly stated as 5-11 years: 'patient is 8', 'age 10', 'school age', 'elementary age' - NOT for grade level, developmental age, or inferred age without explicit statement."
8,Under 2 years of age,"ONLY use when patient age is explicitly stated as under 2 years: 'patient is 18 months', 'age 1', 'infant', 'baby under 2' - NOT for grade level, developmental age, or inferred age without explicit statement."
9,DISEASE CONCEPTS,
10,Behavior,
11,Aggression,"ONLY use when caregiver explicitly states patient physically attacks others: 'hits', 'bites', 'kicks', 'scratches', 'chokes', 'punches' - this aggression may be directed towards caregivers or non-caregivers — NOT for general defiance, tantrums, or pushing during play"
12,Abnormal play,"ONLY use when caregiver describes very specific unusual play: obsessive lining up objects, repetitive scripting exact phrases during play, or playing with toys in highly unusual ways - NOT for simply preferring certain toys or age-inappropriate interests."
13,Autism/Autistic Behavior,"STOP! READ CAREFULLY: Use this code ONLY if the caregiver says the exact words 'autism' or 'autistic' or 'on the spectrum'. If you decide to classify this, address this note in your rationale and how it applies. NEVER EVER use this code for: 'diagnosed condition', 'this disease', '8p deletion syndrome', 'genetic condition', 'developmental delays', 'behavioral issues', 'she was diagnosed', 'he has a condition'. If you cannot find the exact words 'autism' or 'autistic' in the transcript, DO NOT USE THIS CODE. This is a common error - double check the transcript contains these exact words before coding."
