Id,Name,Parent Id,Depth,Type
1,DEMOGRAPHICS,,0,Category
2,AGE RANGE,,1,Domain
3,12 to 17 years of age,1.0,2,Concept
4,18 to 29 years of age,1.0,2,Concept
5,2 to 4 years of age,1.0,2,Concept
6,30 years and older,1.0,2,Concept
7,5 to 11 years of age,1.0,2,Concept
8,Under 2 years of age,1.0,2,Concept
9,DISEASE CONCEPTS,,0,Category
10,Behavior,9.0,1,Domain
11,Aggression,10.0,2,Concept
12,Abnormal play,10.0,2,Concept
13,Autism/Autistic Behavior,10.0,2,Concept
14,"Consumption Behaviors, Abnormal (Includes changes in eating and/or drinking) ",10.0,2,Concept
15,Pica,14.0,3,Concept
16,"Crying, abnormal (includes spontaneous, inconsolable, lack of) ",10.0,2,Concept
17,Disinhibition,10.0,2,Concept
18,"Social Behavior, abnormal (Includes inappropriate behavior, overly friendly, physical contact seeking/avoiding, attention seeking, interest in others, emotional immaturity)   ",17.0,3,Concept
19,"ADHD (includes hyperactivity, ADD)",17.0,3,Concept
20,Impulsivity,17.0,3,Concept
21,Excitable,10.0,2,Concept
22,Lethargy (includes increasing with age),10.0,2,Concept
23,"Maladaptive behaviors (includes biting, hair'-'pulling, pinching slapping, yelling)",10.0,2,Concept
24,Mouth stuffing and pocket filling,10.0,2,Concept
25,"Oppositional behaviors, includes oppositional defiance disorder",10.0,2,Concept
26,"Repetitive behaviors (includes OCD, hand-wringing, compulsions, rituals, loud repetitive vocalizations)",10.0,2,Concept
27,"Fixated interest, or atypical interest in or use of objects (such as water, crinkly items, mirrors, reflections, paper, twirling hair, music, outdoors, ceiling fans, vehicles, opening closing doors",26.0,3,Concept
28,Perseveration (includes repetitive speech/verbalization),26.0,3,Concept
29,"Sensory behavior, abnormal (sensory-seeking, spinning, eye'-'poking, hair brushing, touching hands)",26.0,3,Concept
30,"Restlessness (includes agitation, exploratory mobility) ",10.0,2,Concept
31,"Self'-'Injurious Behavior (include self'-'harm, head banging, trichotillomania, wound picking, skin picking, biting self)",10.0,2,Concept
32,Temper tantrums,10.0,2,Concept
33,Cardiorespiratory,9.0,1,Domain
34,"Cardiac Defect/Structural Abnormality (pulmonary atresia, murmur, mitral valve disease, enlarged, atrial septal defects, arrythmia, murmur, bradycardia, low heart rate)",33.0,2,Concept
35,"Cardiac Failure (Heart Failure, Hypertrophy, Cardiomyopathy)",33.0,2,Concept
36,Dystussia (difficulty coughing),33.0,2,Concept
37,Hypersecretion,33.0,2,Concept
38,Irregular Heart Rate,33.0,2,Concept
39,"Blood pressure, abnormal (hypertension, hypotension, high, low)",33.0,2,Concept
40,"Lower Respiratory Infections, recurrent, includes pneumonia",33.0,2,Concept
41,"Respiration, Abnormal (Includes Asthma, Hypoxia, Restrictive Airway Disease)",33.0,2,Concept
42,Apneic Episodes,41.0,3,Concept
43,"Aspiration, Includes Silent",41.0,3,Concept
44,Respiratory Distress/Failure,33.0,2,Concept
45,Structural Respiratory Abnormality (pulmonary atresia),33.0,2,Concept
46,Syncope (fainting),33.0,2,Concept
47,"Tonsils/Adenoids, Abnormal",33.0,2,Concept
48,"Upper Respiratory Infections, recurrent, sinusitus",33.0,2,Concept
49,Cognition,9.0,1,Domain
50,Abstract Concepts Difficult ,49.0,2,Concept
51,Cognitive Decline/Regression,49.0,2,Concept
52,Memory Challenges,51.0,3,Concept
53,"Reduced consciousness (includes coma, vegetative state, unconscious)",49.0,2,Concept
54,"Executive Function Skills, Impaired (logic, planning, time'-'management, organization)",49.0,2,Concept
55,"Global Developmental Delay (Children < 5, includes Vineland, VABS-3, lower adaptive behavior) ",49.0,2,Concept
56,Intellectual Disability (includes Cognitive Disability),49.0,2,Concept
57,Cognitive impairment,49.0,2,Concept
58,Judgement Impaired: Danger awareness limited,49.0,2,Concept
59,Memory Enhanced,49.0,2,Concept
60,Learning disability (includes dyslexia),49.0,2,Concept
61,Processing Disorder (includes agnosia),49.0,2,Concept
62,Communication,9.0,1,Domain
63,Dysarthria,62.0,2,Concept
64,Echolalia,62.0,2,Concept
65,Speech Delay,62.0,2,Concept
66,Expressive Communication Decreased,65.0,3,Concept
67,"Non-speaking communication through the use of eye contact, facial expression, body postures and gestures",66.0,4,Concept
68,Verbal Language can be used to Communicate (Includes few words),66.0,4,Concept
69,Sign language (includes ASL),66.0,4,Concept
70,Receptive Communication Decreased,65.0,3,Concept
71,"Speech, Abnormal",65.0,3,Concept
72,"Speech, Absent (Non-speaking)",65.0,3,Concept
73,Speech Impediment (includes pronunciation/verbal impairments '-' cerebellar),62.0,2,Concept
74,Speech Regression,62.0,2,Concept
75,Strong Desire to Communicate,62.0,2,Concept
76,"Verbal Approximation, vocalizes but does not have full speech (baba, wawa) ",62.0,2,Concept
77,Emotional,9.0,1,Domain
78,"Anxiety (includes panic attacks, social anxiety, separation anxiety)",77.0,2,Concept
79,Apathy,77.0,2,Concept
80,"Fear, Abnormal",77.0,2,Concept
81,Frustration (symptom),77.0,2,Concept
82,Happy Demeanor (includes Placid/Content),77.0,2,Concept
83,Irritability,77.0,2,Concept
84,Mood Swings (includes lack of self'-'regulation),77.0,2,Concept
85,"Neuropsychiatric Issues (includes suspicion of bipolar, bipolar, hallucinations, catatonia, schizophrenia, depression)",77.0,2,Concept
86,Endocrine,9.0,1,Domain
87,Adrenal Gland Abnormality (Includes adrenal insuffiency),86.0,2,Concept
88,Diabetes type 2,86.0,2,Concept
89,Growth hormone deficiency,86.0,2,Concept
90,Premenstrual syndrome (PMS) (includes PMDD),86.0,2,Concept
91,Puberty and gonadal disorders (includes PCOS),86.0,2,Concept
92,"Thyroid, abnormal",86.0,2,Concept
93,Gastrointestinal,9.0,1,Domain
94,Abdominal Symptoms,93.0,2,Concept
95,"Appetite, Poor",94.0,3,Concept
96,Constipation,94.0,3,Concept
97,Diarrhea,94.0,3,Concept
98,"Distended/protruding abdomen, bloating",94.0,3,Concept
99,Malrotation,94.0,3,Concept
100,"Vomiting, Includes Cyclic",94.0,3,Concept
101,"Dysmotility (includes slow gastric emptying, neurologic gut, slow motility)",93.0,2,Concept
102,Esophagitis,93.0,2,Concept
103,Gagging,93.0,2,Concept
104,"GI morphology, structure, abnormal",93.0,2,Concept
105,"Infant Feeding Issues (Includes poor sucking, chewing)",93.0,2,Concept
106,Leaky Gut (reduced nutrient absorption),93.0,2,Concept
107,Reflux (Includes GERD),93.0,2,Concept
108,"Gastrointestinal, other",93.0,2,Concept
109,Genitourinary ,9.0,1,Domain
110,"Genital system, abnormal (includes reproductive system, menses, irregular periods, cryptorchidism, torsion)",109.0,2,Concept
111,"Genitourinary Infections (Includes pyelonephritis, chronic yeast infections, urinary tract infections (UTIs), recurrent UTIs)",109.0,2,Concept
112,Incontinence (includes bed wetting),109.0,2,Concept
113,Renal abnormality (includes kidney stones),109.0,2,Concept
114,"Urinary System, Abnormal (includes bladder atonia, abnormal ureters, urine flow obstruction, structural defects)",109.0,2,Concept
115,Growth,9.0,1,Domain
116,Failure to Thrive,115.0,2,Concept
117,Obesity,115.0,2,Concept
118,Short stature,115.0,2,Concept
119,"Tall stature, long limbs",115.0,2,Concept
120,"Body weight, abnormal (includes overweight, underweight, obesity, weight gain)",115.0,2,Concept
121,Underweight,115.0,2,Concept
122,Hearing,9.0,1,Domain
123,Deafness,122.0,2,Concept
124,Hearing impariment,122.0,2,Concept
125,"Hearing test, abnormal",122.0,2,Concept
126,Otitis/Ear Infections,122.0,2,Concept
127,Motor,9.0,1,Domain
128,Apraxia (including of speech),127.0,2,Concept
129,Fatigue,127.0,2,Concept
130,"Fine motor skills, Abnormal",127.0,2,Concept
131,"Gross motor skills, Abnormal",127.0,2,Concept
